Temp,E,E_std,M,M_std,M_th,C,C_std,C_th,X,X_std
1.0,-0.9985844848632813,2.7163535660734285e-05,0.9992781030273439,1.406982633692038e-05,0.9992757519570612,0.005816559179729666,0.00030720343376063454,-0.5331515713322278,0.0015596487402945059,8.316683941073893e-05
1.0606060606060606,-0.9977202661132815,3.5626664290115836e-05,0.9988305688476561,1.8567187305078752e-05,0.9988320091833017,0.008364267715004918,0.0004651955660617151,-0.5089539412649581,0.0024322510184184858,0.0001329993126735954
1.121212121212121,-0.9965134509277342,4.554766991250345e-05,0.9981994799804688,2.439207396031025e-05,0.9982021734881239,0.011615447183122192,0.0006565522061806438,-0.48351114117847843,0.003663272183743224,0.00021708382747553871
1.1818181818181819,-0.9948888146972656,5.6010914515375944e-05,0.9973404602050782,3.0085081683130868e-05,0.9973384893801557,0.015606296502364407,0.0009568439668505653,-0.45668803710792355,0.005318522858236136,0.0003292754087176012
1.2424242424242424,-0.9927246887207031,6.398438686562103e-05,0.9961812963867187,3.4756170037246894e-05,0.9961870910556672,0.020245548475952172,0.001209547675558746,-0.42832622809048504,0.007532103392626063,0.00046093774640124276
1.303030303030303,-0.9899811682128905,8.652687815935344e-05,0.9946885559082032,5.013582251847012e-05,0.9946872194071207,0.025426369607361048,0.0014834991197154518,-0.3982383778005934,0.010316874248074294,0.0006021648611333065
1.3636363636363638,-0.9864781201171876,0.00010065490302031281,0.9927511889648437,5.725947041244488e-05,0.9927699495803408,0.03200791382278661,0.0018088277345763952,-0.36620070741448885,0.01418285841827431,0.0008297500287574211
1.4242424242424243,-0.9822112304687499,0.0001242922355606018,0.9903457482910154,7.475109651767829e-05,0.9903562744387484,0.038832091960236015,0.0021431276333600618,-0.3319428839604284,0.018823810283596528,0.001106540245055717
1.4848484848484849,-0.9769986437988281,0.00014868358280810862,0.9873389306640624,9.132783000497081e-05,0.9873543142735284,0.04710268628833271,0.0026518656234937724,-0.2951341384422505,0.02523384710367931,0.0015330140201017986
1.5454545454545454,-0.9707404431152343,0.00015388144113549258,0.9836428186035154,0.00010038237104363768,0.9836552933894177,0.056160546156964634,0.003470050853103527,-0.25536378990601716,0.03339423442200153,0.002165671931430223
1.606060606060606,-0.9633591479492186,0.0001703529966137067,0.9791547985839845,0.00011752085751074549,0.9791277016185896,0.06660598503393769,0.0035903515868976666,-0.21211323133084192,0.0441281377807821,0.0026413289754153076
1.6666666666666667,-0.9545387072753908,0.00021393429480713984,0.9736143994140626,0.00016556088782966307,0.9736086674403005,0.07799141547157924,0.004535163001089662,-0.1647144501914566,0.05858741396198092,0.003683174740156768
1.7272727272727273,-0.9443022167968751,0.00025611618555837533,0.9669206066894535,0.00020421167124612117,0.9668908525208443,0.09144105780168305,0.005254823765270641,-0.11228648292168886,0.07810280196240982,0.005466665936462433
1.7878787878787878,-0.932245847167969,0.0002936879746818236,0.9586824450683593,0.00026707100815826266,0.9587017940181989,0.106705552204551,0.00615444992089892,-0.053634021392808436,0.10589588411020813,0.008033195473823189
1.8484848484848486,-0.9183654467773437,0.00038732136816749664,0.9486644543457031,0.0003880209978540594,0.948669775564349,0.12446561878948675,0.008810361823022911,0.012922583497696791,0.14912698175117778,0.017406413474751525
1.9090909090909092,-0.9022132202148437,0.0004128190607434632,0.9363241052246096,0.00048032894310357465,0.9362639806661803,0.1423033066989141,0.010237751585306598,0.08985046658703166,0.20511621429712942,0.02096583197244668
1.9696969696969697,-0.8833079772949219,0.0005866111566239525,0.9206672998046876,0.0007842422613316089,0.9206811627511036,0.16663303684460828,0.015401322161868437,0.18098934584675214,0.304402093270244,0.04436427792947479
2.0303030303030303,-0.8613965515136719,0.0007558332608021868,0.9006735437011717,0.0013114338820585966,0.9006077946648289,0.19502772110445452,0.017855539804934137,0.29280679862150866,0.4816259745963585,0.11552814494201373
2.090909090909091,-0.835206326904297,0.0009066448617291334,0.8732813513183595,0.001994598388816064,0.873642668819075,0.23793071392618015,0.02442507139552348,0.4375269547517037,0.8534945901846058,0.19099564022783133
2.1515151515151514,-0.8037435852050782,0.0017577917246438509,0.8336180651855467,0.006396671176347981,0.8345391960470678,0.28350020664181136,0.03588726825340888,0.642982361279801,1.823958886107809,0.823270588165927
2.212121212121212,-0.7646071374511719,0.002801906935142398,0.7682440991210939,0.014644316870118903,0.7670179122107826,0.3403498713731233,0.05168449258880408,1.000885005115426,4.038668648269765,1.9013389367295939
2.2727272727272725,-0.7057879003906251,0.008397450875432168,0.5335368579101563,0.13551474478247594,0.0,0.40506730142125713,0.0960377536272805,0.0,21.217787972725727,16.79883954935651
2.3333333333333335,-0.6446547131347655,0.004262087622957347,0.1566736376953125,0.0794753993193645,0.0,0.32850142741594324,0.05933764141592966,0.0,32.34377228755581,23.69301962185214
2.393939393939394,-0.6052601477050781,0.002107624041546789,0.07288349731445312,0.024822419223800296,0.0,0.2702076244916466,0.037940080524583926,0.0,15.497043615341829,8.926314851704037
2.4545454545454546,-0.5738433471679687,0.00146973297335725,0.05888306030273439,0.014538323229192048,0.0,0.23707190963478136,0.029184894438700166,0.0,11.18701388608064,5.25458700256799
2.515151515151515,-0.5467184729003907,0.0010853803160062604,0.04585769653320312,0.008813327589917944,0.0,0.20386077725812973,0.02020059327459017,0.0,7.060256836386747,2.4557225824751434
2.5757575757575757,-0.5229819738769532,0.0008710886925272503,0.0396432568359375,0.007100704206050598,0.0,0.17943471297355654,0.01670609228324212,0.0,5.414381708374426,1.8259385189454822
2.6363636363636367,-0.5017549462890626,0.0008644736380162207,0.03344175659179688,0.004476610378477191,0.0,0.16280485389408522,0.014218924089068205,0.0,3.8108024951442117,1.1928291666630393
2.6969696969696972,-0.4825403442382812,0.000633388537912705,0.03068851806640625,0.0035026560800573343,0.0,0.14875026407025596,0.010215623640846558,0.0,3.122826517840699,0.6790078003815212
2.757575757575758,-0.46532490478515626,0.0007162707423781713,0.028438432617187502,0.0035631967054247054,0.0,0.13556945411033255,0.00985508169532805,0.0,2.7276026967218088,0.701335143564847
2.8181818181818183,-0.4494561987304687,0.0005151330845072754,0.025828392333984374,0.0025936576022899845,0.0,0.12566591538020558,0.009730960468295372,0.0,2.161171790901981,0.4484359343861884
2.878787878787879,-0.4347406933593751,0.0006623130051122332,0.024156434326171875,0.0023109501732262072,0.0,0.1148374137837595,0.008610035148133353,0.0,1.856537813535953,0.3619494360768464
2.9393939393939394,-0.4213207629394532,0.0005520653681937516,0.02249304321289062,0.0020952787112453043,0.0,0.10798430623022759,0.007022712344655596,0.0,1.6365538504399815,0.33726305193703315
3.0,-0.40862654907226564,0.0004897388083299239,0.02129457153320313,0.001759804527678733,0.0,0.09930521361138439,0.007017745864713141,0.0,1.3761898034415694,0.25474850577365393
3.0606060606060606,-0.39680731445312495,0.00043685598263804433,0.0199536083984375,0.001399746783160005,0.0,0.0920063390334154,0.005475161698878143,0.0,1.2070241215548616,0.17839809320808514
3.121212121212121,-0.3859345654296875,0.00046842874419546085,0.01916306396484375,0.0012790559977397147,0.0,0.0881866140343848,0.005162227761416887,0.0,1.0696532676950754,0.14212199364604616
3.1818181818181817,-0.37547503662109366,0.00044821700098089423,0.01856106811523437,0.001165650506527367,0.0,0.08239672098943661,0.004182711248158002,0.0,0.9959483962418386,0.1381635914741781
3.2424242424242427,-0.36576465209960934,0.00035640355592676804,0.017613752441406248,0.0010881433417386484,0.0,0.0777576431399506,0.003881897228527337,0.0,0.8911714460067263,0.11131958415571819
3.303030303030303,-0.3566674645996094,0.0003732731200614694,0.017276918945312497,0.0010688787822598475,0.0,0.07272500815446241,0.004275445827448022,0.0,0.8247006094025499,0.10804768729536601
3.3636363636363638,-0.34799580200195307,0.0004108142395582607,0.01661853271484375,0.0010478301649911243,0.0,0.06916896152969387,0.00381679832663063,0.0,0.7628969525599133,0.10052931222233895
3.4242424242424243,-0.33975600341796885,0.00040102162556383196,0.01600125,0.0008925426928743417,0.0,0.06532814512676233,0.004168203150373697,0.0,0.6919919557815526,0.08499943819330301
3.484848484848485,-0.3319708740234375,0.00034663698433078923,0.015661617431640625,0.0008653897422735402,0.0,0.062265471118801916,0.0033272661775885035,0.0,0.6499874816302862,0.07357229829924607
3.5454545454545454,-0.32453689819335935,0.0003391410423997708,0.01506866455078125,0.0008165445713428327,0.0,0.05942356404429718,0.0030881907966386875,0.0,0.598917458866311,0.07182175386113478
3.606060606060606,-0.3174514672851563,0.0003259485588958975,0.014683023681640626,0.0007270495603521689,0.0,0.05689264203729396,0.0025065314501557063,0.0,0.553953048535259,0.05960289141413726
3.666666666666667,-0.3107737390136719,0.0003115694718527836,0.014355599365234372,0.0007854040463235316,0.0,0.05473507161385208,0.0028415721713698073,0.0,0.5253446420114968,0.0664627117886416
3.7272727272727275,-0.30434984252929687,0.00036801195077135266,0.01396548583984375,0.0006614350557757009,0.0,0.05162343153643837,0.002816513472014661,0.0,0.48792173177055537,0.05003753213718472
3.787878787878788,-0.29811315551757805,0.00037159139070691436,0.013727813720703126,0.0006732265616402732,0.0,0.04956118984991214,0.0026229060936812845,0.0,0.46977795935361333,0.04758188894776316
3.8484848484848486,-0.2923235095214844,0.00030732169340033535,0.013465924072265625,0.0005419710335598441,0.0,0.047124188341593196,0.0022487131908081157,0.0,0.44225267099795845,0.039019179968206454
3.909090909090909,-0.2866263757324219,0.000274844124277609,0.01313954223632812,0.0006318336044940592,0.0,0.04499499743743473,0.0023601253812839352,0.0,0.41179745873222884,0.038136886652636086
3.9696969696969697,-0.2812546240234375,0.00029384911938623614,0.012939118652343748,0.0005856798731266904,0.0,0.043444035685428706,0.0019874161101723123,0.0,0.3973445689802004,0.04032975835249833
